1/cm  S.D.
403.121	66.1026
404.927	56.5916
406.732	59.1715
408.537	58.2023
410.341	58.6978
412.145	58.7524
413.947	57.781
415.75	56.8812
417.553	56.0792
419.353	55.275
421.156	54.4487
422.958	53.7126
424.757	52.9713
426.556	52.3012
428.357	51.722
430.155	51.3828
431.953	52.3457
433.753	53.1386
435.551	54.0773
437.348	54.6265
439.144	54.883
440.941	53.7023
442.737	53.1047
444.532	53.1301
446.327	53.1895
448.12	53.3598
449.915	53.4984
451.709	53.191
453.501	52.7588
455.294	52.5984
457.088	52.7729
458.878	53.2852
460.669	53.2945
462.461	52.8858
464.25	52.495
466.04	52.2722
467.831	52.2121
469.62	52.3794
471.408	52.6999
473.196	53.2027
474.983	53.8647
476.771	54.7041
478.558	55.7245
480.342	56.0186
482.128	56.1887
483.914	55.2668
485.7	54.7323
487.483	53.9024
489.268	52.9543
491.05	52.1258
492.834	51.36
494.616	51.3199
496.397	52.7203
498.18	53.202
499.961	53.2085
501.741	52.9012
503.521	52.2798
505.301	51.8333
507.08	52.2604
508.859	52.4894
510.638	52.7996
512.416	53.1023
514.194	53.513
515.97	52.8902
517.747	52.2355
519.524	51.5866
521.298	50.7936
523.074	50.007
524.848	49.7676
526.624	50.0259
528.397	51.0698
530.169	51.7853
531.944	51.9377
533.716	51.9021
535.488	51.7189
537.259	51.4474
539.03	51.1753
540.801	50.9574
542.571	50.8027
544.341	50.8882
546.109	50.9004
547.878	50.9403
549.647	50.9651
551.414	50.9707
553.182	50.9341
554.948	50.9017
556.716	50.8936
558.481	50.9459
560.248	50.9712
562.013	51.0391
563.777	51.9653
565.541	53.7961
567.304	53.5716
569.069	53.7655
570.832	54.0436
572.593	54.4144
574.355	55.0104
576.117	55.7463
577.878	56.7961
579.639	57.9163
581.398	59.0795
583.159	60.0407
584.917	60.3407
586.677	60.2758
588.434	59.9952
590.193	59.3884
591.95	59.8616
593.706	59.5566
595.464	59.8652
597.22	60.4879
598.975	58.7423
600.73	56.9914
602.485	55.6054
604.24	54.7441
605.994	54.0928
607.745	53.8803
609.499	54.0682
611.252	54.5991
613.002	55.27
614.755	55.9632
616.505	56.2214
618.256	56.4459
620.006	56.663
621.757	56.9758
623.505	57.4145
625.254	58.3713
627.002	59.8159
628.749	61.3885
630.496	63.1941
632.243	65.269
633.99	67.6392
635.736	70.2554
637.482	74.9274
639.228	79.3387
640.971	88.9862
642.716	101.782
644.461	116.099
646.203	128.962
647.947	139.06
649.689	146.083
651.43	149.911
653.173	127.134
654.913	112.926
656.654	100.065
658.393	88.757
660.133	78.5255
661.872	71.4343
663.611	66.8555
665.35	64.6021
667.088	64.5462
668.824	63.9661
670.562	62.6985
672.299	61.5855
674.034	61.0248
675.77	60.8176
677.505	59.7777
679.241	58.4109
680.974	57.2261
682.707	56.6151
684.44	57.2138
686.173	60.3843
687.907	61.0262
689.639	61.1568
691.371	60.8162
693.1	60.0632
694.831	59.056
696.562	58.9394
698.292	59.9307
700.02	60.5
701.749	60.9357
703.479	61.7143
705.206	61.9012
706.932	61.3058
708.661	60.2945
710.386	58.887
712.112	57.1106
713.837	55.598
715.564	52.4039
717.289	51.1593
719.013	56.3586
720.737	57.4813
722.459	58.6745
724.182	60.2289
725.905	61.267
727.628	60.2266
729.348	57.6741
731.07	57.1008
732.79	57.4979
734.511	58.561
736.23	59.2879
737.949	58.8131
739.67	57.4126
741.388	56.9342
743.105	56.5991
744.823	56.6019
746.54	56.9619
748.257	57.9186
749.973	59.0747
751.689	59.3648
753.403	59.42
755.118	59.4032
756.833	59.3602
758.546	58.653
760.261	57.941
761.973	58.563
763.687	59.0843
765.398	58.9976
767.109	58.883
768.82	58.7493
770.531	58.5876
772.241	58.3831
773.951	58.1315
775.66	57.8592
777.37	57.6194
779.079	57.8003
780.787	58.1049
782.495	58.2563
784.201	58.3635
785.909	58.2955
787.614	57.4339
789.321	57.5832
791.026	57.4506
792.73	58.143
794.436	58.1677
796.14	58.3658
797.843	58.9587
799.546	59.5657
801.249	59.9927
802.952	59.9972
804.654	58.6651
806.353	57.2997
808.055	56.52
809.756	55.8351
811.455	56.0306
813.155	56.2499
814.853	56.4974
816.553	56.6257
818.251	56.6291
819.948	56.1178
821.647	56.1767
823.344	56.793
825.04	58.2915
826.736	59.4162
828.431	58.6763
830.127	57.7702
831.822	57.149
833.514	56.3438
835.209	55.9054
836.903	56.3149
838.594	57.4275
840.288	59.3768
841.979	61.2273
843.672	60.9577
845.362	60.6692
847.052	61.0265
848.742	61.5529
850.431	60.728
852.121	60.0497
853.81	59.594
855.498	59.4228
857.186	59.3262
858.874	59.0378
860.562	58.6254
862.247	57.9788
863.934	57.4227
865.619	57.1641
867.305	57.132
868.989	57.6629
870.675	58.5365
872.358	59.9734
874.041	61.4438
875.724	62.6846
877.406	63.0801
879.089	62.2671
880.77	61.1283
882.452	60.469
884.133	60.4448
885.814	60.9458
887.493	61.9066
889.173	61.8983
890.851	61.2251
892.531	60.7783
894.208	60.4621
895.887	60.3457
897.564	60.3521
899.24	60.4582
900.916	60.5782
902.592	60.6137
904.267	60.3768
905.942	59.8613
907.617	58.6951
909.292	57.6162
910.966	57.5148
912.638	57.916
914.312	58.1507
915.983	56.8766
917.656	55.6079
919.327	55.4995
920.997	57.9711
922.669	58.0735
924.339	58.2275
926.008	58.5365
927.677	58.9597
929.346	59.4004
931.015	59.8533
932.683	60.0452
934.351	60.076
936.016	59.3135
937.684	58.579
939.351	58.0015
941.015	57.2758
942.68	56.9423
944.346	57.2161
946.009	57.3362
947.673	57.3278
